MortgageID,Address,Zip,City,State,UnitCode,Cost,CustomerID,ClosingDate,InterestRate,APR,LoanTypeID,LoanConsultantID,OfficeLocationID
9,125 Deerborn Ave #9,19801,Wilmington,DE,3,174000,254,9/23/2017,4.00%,4.46%,2,1,1
180,786 Midtown Street #80,19102,Philadelphia,PA,1,156000,54,9/23/2017,4.00%,4.88%,3,3,2
295,448 Market Lane #95,8609,Trenton,NJ,3,276000,315,9/26/2017,4.00%,4.06%,2,5,3
327,259 Central Way #27,7102,Newark,NJ,3,404000,325,9/28/2017,3.75%,4.29%,4,7,4
462,776 Patty St #62,21201,Baltimore,MD,2,156000,247,10/1/2017,3.75%,4.56%,4,10,5
202,448 Market Lane #2,8609,Trenton,NJ,4,345000,419,10/2/2017,4.00%,4.72%,4,6,3
110,786 Midtown Street #10,19102,Philadelphia,PA,1,156000,34,10/5/2017,4.00%,4.70%,3,4,2
81,125 Deerborn Ave #81,19801,Wilmington,DE,4,217500,392,10/6/2017,4.25%,4.71%,3,2,1
224,448 Market Lane #24,8609,Trenton,NJ,4,345000,424,10/6/2017,3.75%,4.39%,2,6,3
401,776 Patty St #1,21201,Baltimore,MD,2,156000,233,10/11/2017,4.00%,4.30%,2,9,5
164,786 Midtown Street #64,19102,Philadelphia,PA,1,156000,51,10/13/2017,4.25%,4.91%,4,4,2
304,259 Central Way #4,7102,Newark,NJ,1,202000,83,10/14/2017,3.75%,3.95%,4,8,4
48,125 Deerborn Ave #48,19801,Wilmington,DE,1,87000,11,10/15/2017,3.75%,4.08%,4,2,1
69,125 Deerborn Ave #69,19801,Wilmington,DE,2,130500,143,10/15/2017,3.75%,4.36%,4,1,1
16,125 Deerborn Ave #16,19801,Wilmington,DE,2,130500,133,10/17/2017,4.00%,4.15%,1,2,1
248,448 Market Lane #48,8609,Trenton,NJ,1,138000,71,10/17/2017,3.75%,4.16%,4,5,3
160,786 Midtown Street #60,19102,Philadelphia,PA,2,234000,165,10/18/2017,3.50%,4.21%,3,3,2
486,776 Patty St #86,21201,Baltimore,MD,3,208000,372,10/18/2017,3.50%,3.51%,3,9,5
299,448 Market Lane #99,8609,Trenton,NJ,3,276000,316,10/20/2017,4.00%,4.14%,1,6,3
389,259 Central Way #89,7102,Newark,NJ,4,505000,470,10/20/2017,3.50%,4.22%,1,7,4
218,448 Market Lane #18,8609,Trenton,NJ,2,207000,185,10/22/2017,4.00%,4.16%,1,5,3
226,448 Market Lane #26,8609,Trenton,NJ,4,345000,425,10/26/2017,4.25%,4.92%,2,5,3
191,786 Midtown Street #91,19102,Philadelphia,PA,1,156000,58,10/27/2017,4.25%,5.09%,3,3,2
438,776 Patty St #38,21201,Baltimore,MD,4,260000,482,10/28/2017,4.00%,4.27%,3,9,5
477,776 Patty St #77,21201,Baltimore,MD,4,260000,496,11/1/2017,4.25%,5.24%,4,9,5
30,125 Deerborn Ave #30,19801,Wilmington,DE,3,174000,261,11/2/2017,3.50%,3.64%,1,1,1
417,776 Patty St #17,21201,Baltimore,MD,2,156000,236,11/5/2017,4.50%,5.44%,4,9,5
383,259 Central Way #83,7102,Newark,NJ,2,303000,230,11/7/2017,4.50%,4.87%,3,7,4
487,776 Patty St #87,21201,Baltimore,MD,2,156000,250,11/9/2017,4.00%,4.81%,2,9,5
27,125 Deerborn Ave #27,19801,Wilmington,DE,1,87000,6,11/10/2017,4.50%,4.82%,1,2,1
362,259 Central Way #62,7102,Newark,NJ,4,505000,464,11/11/2017,3.50%,3.87%,3,7,4
171,786 Midtown Street #71,19102,Philadelphia,PA,2,234000,169,11/12/2017,3.75%,4.24%,1,4,2
225,448 Market Lane #25,8609,Trenton,NJ,3,276000,304,11/13/2017,3.50%,4.45%,4,5,3
380,259 Central Way #80,7102,Newark,NJ,3,404000,340,11/13/2017,4.00%,4.90%,3,7,4
363,259 Central Way #63,7102,Newark,NJ,1,202000,94,11/22/2017,4.25%,5.02%,3,8,4
335,259 Central Way #35,7102,Newark,NJ,2,303000,222,11/23/2017,4.00%,4.82%,3,8,4
475,776 Patty St #75,21201,Baltimore,MD,4,260000,495,11/24/2017,4.00%,4.79%,4,9,5
217,448 Market Lane #17,8609,Trenton,NJ,4,345000,422,11/25/2017,4.00%,4.44%,4,6,3
373,259 Central Way #73,7102,Newark,NJ,2,303000,229,11/26/2017,4.50%,4.89%,3,7,4
